AR9,AR16,DC05-06-2010,DC05-6-21,DC05-06-2029,SU 03-24,SU 03-25,DC 04-5-2,AM 076,99 RS 28,99 RS 65,DC 5-5-4,SJ-16,SJ-11,SJ-57,DC 5-6-28,CP1,CP7,CP10,CP14,CP17,CP18,CP21,CP22,CP23,CP103,CP107,CP212,CP702,CP705,CM016,AM1,AM2,AM3,AM4,CT1,CT4,CT6,CT7,CT8,CT9,CT10,CT11,CT13,EO1,EO3,E04,EO5,EO6,EO2,Romero2013
1675.574781,555.9290076,1852.66592558019,523.4880113828489,754.7289585917966,970.2703975900191,NA,649.5727007175338,1131.0819812338887,842.5476250137041,1191.289137139254,1256.9134433546383,1165.0593495947153,1179.2047701569454,1139.9356567005361,NA,NA,1150.3,NA,854.5,883.1,NA,967,954.5,NA,1858.1,NA,805.1,NA,NA,NA,1578.3,1255.1,639.8,602.8,NA,1164,680.5,NA,NA,626.1,525.2,1078.5,NA,216,533,1098,595,NA,2155,NA
1661.758271,559.85263,1128.8194371461527,597.4722905926001,1021.0086564652952,522.5137891605918,NA,720.6206297920254,576.8913784562535,994.5673259655547,987.890574323158,1121.7515057816067,1165.2794054139342,1179.8764729583215,1158.693225277157,NA,NA,1085.3,NA,893.4,899.9,NA,988.8,1062.4,NA,NA,NA,993.6,NA,NA,NA,1960,1281.9,649,603.9,NA,1143.4,712.5,NA,NA,633.6,525.7,1075.9,NA,1076,542,660,950,NA,2567,NA
1656.588356,565.5907684,1169.8925621373226,591.4313337937613,565.2271394370022,1053.1805543571984,NA,1253.3117864695016,939.8891361442136,367.0438085094599,509.0250882617121,1131.1641335509662,1167.9849249712966,1181.2013109821137,1163.4994789930258,NA,NA,1184.8,NA,910.6,982.9,NA,1040.8,1092.8,NA,NA,NA,1050.6,NA,NA,NA,2627.4,1641,649.2,604,NA,1170.3,728.7,NA,NA,694.8,526.6,1230.9,NA,300,1113,2777,669,NA,2445,NA
1638.846236,565.6172543,997.9108313731923,613.1161760212192,559.1772176134172,344.5972539725386,NA,1837.401497996551,687.2993324236509,550.7417455227128,1042.9503229904878,990.6033493503393,1171.852252501153,1183.3521540108547,1185.882486381618,NA,NA,1197.7,NA,974.1,992.3,NA,1213.8,1004.1,NA,NA,NA,1031,NA,NA,NA,2702.5,1750.2,658.8,669.5,NA,1161.8,769.3,NA,NA,779,527.3,1772.9,NA,396,619,640,556,NA,567,NA
1636.872552,567.5200081,1219.2405088900123,1126.9374939821073,1116.7272104976948,785.2905484826355,NA,1652.1239670274408,1061.1711689838417,615.400468977366,1117.7749621423056,1130.1172551799395,1176.569501322104,1186.6574949479577,1189.67571515915,NA,NA,1157.1,NA,989.7,1003.1,NA,1236.8,1176.1,NA,NA,NA,1087.6,NA,NA,NA,2709,2167.7,661.6,705.7,NA,1160.9,771.5,NA,NA,858.6,528.7,1769.4,NA,476,NA,945,1093,NA,899,NA
1628.488599,572.5761535,1233.3109810990327,1105.1903660450448,516.4575121673786,554.7349541407747,NA,617.7122957422907,1079.5728596445854,777.3603011883812,1175.0352614015437,1178.279560120054,1178.0904653337132,1187.3641566549338,1205.402147075703,NA,NA,1163.6,NA,993.3,1168.3,NA,1471.7,1051.3,NA,NA,NA,1100.4,NA,NA,NA,NA,NA,668.3,737.8,NA,1253.2,777.4,NA,NA,895.5,551.7,1792.5,NA,821,NA,1029,NA,NA,NA,NA
1619.899787,580.6318501,1055.8018307915238,1341.0727735005337,1896.889138167696,986.5477655185134,NA,1425.451810351561,1074.0155065090935,583.6607186073019,1203.6258201124622,935.2529517050434,1179.0853092989353,1187.8109166280694,1211.0077455396877,NA,NA,1483.7,NA,1023.7,1221.2,NA,1345.7,1092.9,NA,NA,NA,1217.2,NA,NA,NA,NA,NA,671.3,757,NA,1259.7,888.1,NA,NA,897.1,554.4,1679.3,NA,535,NA,532,NA,NA,NA,NA
1603.378326,581.2317698,454.7797350545484,1157.2199084767083,1162.7511093499274,1494.8611001406346,NA,1933.6482678721611,778.6505165032345,637.8803527634693,638.4932172166373,1212.191054522654,1180.0562070744088,1189.8644707113883,1212.3137370449194,NA,NA,1501.8,NA,1031.1,1816.3,NA,1788,1146.7,NA,NA,NA,1200.3,NA,NA,NA,NA,NA,693,757.5,NA,1427.5,891.3,NA,NA,948,557.3,1894.9,NA,420,NA,NA,NA,NA,NA,NA
1592.484007,583.9885912,1859.4033957366462,1342.0371511750611,615.2688982599147,2607.9237619930263,NA,638.9851098342009,677.678584231892,1091.6082628855559,483.6539312437442,1128.4935621602408,1180.3245625051995,1196.1280111367878,1217.6602823768465,NA,NA,1578.6,NA,995.1,1522.7,NA,1606,1099.4,NA,NA,NA,1373.3,NA,NA,NA,NA,NA,760.3,795.8,NA,1436.5,913.2,NA,NA,948.9,557.9,2687.7,NA,1250,NA,NA,NA,NA,NA,NA
1579.250421,584.1430403,1864.6639742840366,478.53098962379323,567.1095903028005,526.2297654041024,NA,1115.2026366424639,1092.6957164241892,623.6992567083323,1213.8643411133078,1087.7685957411404,1180.8773613602432,1198.7424312608218,1221.212742071502,NA,NA,1644.5,NA,997.8,1804.5,NA,2047.6,1104.4,NA,NA,NA,1582.8,NA,NA,NA,NA,NA,766.2,803.6,NA,1735.9,923.2,NA,NA,949.3,558.7,2726.4,NA,251,NA,NA,NA,NA,NA,NA
1575.932706,584.6021771,1039.7794026349284,2535.6118998767047,1387.232814723248,1059.9698670855125,NA,2075.0571921836154,583.1508098833508,746.3678807481086,900.3761024646417,912.3773456037904,1182.7722346778355,1210.9478449975152,1221.632908313742,NA,NA,1561.2,NA,1184,2760.2,NA,1820.3,1372.6,NA,NA,NA,1682.4,NA,NA,NA,NA,NA,777.4,818.7,NA,1986.3,933,NA,NA,960.8,558.7,3165.9,NA,236,NA,NA,NA,NA,NA,NA
1571.791394,586.1032406,1056.7070045275505,1754.33415437202,1087.9065472246205,655.6543010517421,NA,2034.4900580738981,468.2840211648078,1028.2597310952995,610.3601856766085,1008.6215061331939,1185.359849549582,1242.6473732241593,1226.1147592264028,NA,NA,1549.8,NA,1122.4,NA,NA,2131.3,1545.9,NA,NA,NA,2022.2,NA,NA,NA,NA,NA,779.4,823.2,NA,2147.4,933.8,NA,NA,985,559.1,NA,NA,1001,NA,NA,NA,NA,NA,NA
1567.211027,588.8400399,1796.438774975116,1218.2436547555553,1339.1940519515053,427.4869998794566,NA,1175.4061559232107,787.5006890250294,555.0285938204,1032.604376303756,1157.7678544754594,1186.884770769921,NA,1226.4473780442568,NA,NA,1682.9,NA,1220.1,NA,NA,1916.8,1908.4,NA,NA,NA,2178.4,NA,NA,NA,NA,NA,897.5,897.6,NA,2721.3,942.8,NA,NA,1050.5,559.4,NA,NA,225,NA,NA,NA,NA,NA,NA
1555.692225,589.7830689,1841.2294275113688,595.5927199734009,581.048327977068,534.2937111830639,NA,1476.4400557857846,560.9032000134281,581.118040911387,1069.5113806952,979.3949566649759,1187.569821993436,NA,1230.9020948764617,NA,NA,1825.6,NA,1130.2,NA,NA,1907.6,2065.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.9,900.9,NA,2715.7,1034.5,NA,NA,1026.6,559.5,NA,NA,988,NA,NA,NA,NA,NA,NA
1541.536375,595.7911328,1313.4267318387601,535.7370162100169,1699.3119488794139,1840.3238757875952,NA,921.8414702065314,664.8178413963516,477.24234710142093,2588.674826385316,1445.6198663421999,1190.0381891752334,NA,1236.3065972306113,NA,NA,1898.5,NA,1178.2,NA,NA,2082.9,3356.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,907.9,917.3,NA,NA,1018.2,NA,NA,1074.7,559.7,NA,NA,1076,NA,NA,NA,NA,NA,NA
1530.598843,600.5980838,1310.9741570927547,618.3140777184288,619.0819257361519,542.0943015761729,NA,472.97315853831043,852.5298046571255,575.8070545858542,1081.386044433369,1271.1182568044792,1192.3901180390706,NA,1239.9925873105676,NA,NA,2062.6,NA,1208.6,NA,NA,2037.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935,943.1,NA,NA,1078.5,NA,NA,1045.2,560.2,NA,NA,1142,NA,NA,NA,NA,NA,NA
1526.12481,608.602313,1740.5954461082622,610.5597917637392,706.9747080939404,582.6191181419823,NA,NA,1257.6074250513698,NA,1239.3725274471221,1253.4398281947852,1192.43712957331,NA,1252.8890571810257,NA,NA,2465.7,NA,1243.4,NA,NA,2622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943,950.7,NA,NA,1041.3,NA,NA,1026.2,560.6,NA,NA,478,NA,NA,NA,NA,NA,NA
1525.349282,609.3691227,1839.4170176249195,1087.6904456218665,1826.3055573072472,1063.5633452039535,NA,NA,1115.266004134615,NA,NA,1020.9224066892684,1192.5141770898274,NA,1254.7004733938584,NA,NA,2681.2,NA,1371,NA,NA,2696.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.1,951.8,NA,NA,1060.8,NA,NA,1038.7,560.7,NA,NA,527,NA,NA,NA,NA,NA,NA
